女上位 (cowgirl)
骑乘 (riding)
驾驶 (driving)
竞赛 (racing)
跑 (running)
走 (walking)
站 (standing)
坐 (sitting)
跪 (kneeling)
躺 (lying)
睡 (sleeping)
醒 (waking)
梦想 (dreaming)
思考 (thinking)
想要 (wanting)
需要 (needing)
渴望 (desiring)
希望 (hoping)
希望 (wishing)
祈祷 (praying)
恳求 (begging)
请求 (pleading)
询问 (asking)
等待 (waiting)
期待 (expecting)
期望 (anticipating)
希望 (hoping_for)
希望 (wishing_for)
渴望 (longing_for)
向往 (yearning_for)
思念 (pining_for)
渴望 (craving_for)
渴望 (aching_for)
燃烧 (burning_for)
渴望 (thirsting_for)
饥饿 (hungry_for)
渴望 (starving_for)
食欲 (appetite)
欲望 (desire)
需要 (need)
想要 (want)
希望 (wish)
希望 (hope)
梦想 (dream)
渴望 (longing)
向往 (yearning)
思念 (pining)
渴望 (craving)
渴望 (thirst)
饥饿 (hunger)
冲动 (urge)
本能 (instinct)
冲动 (impulse)
驱动 (drive)
动机 (motivation)
热情 (passion)
火 (fire)
火焰 (flame)
热 (heat)
温暖 (warmth)
发光 (glow)
闪耀 (shining)
发光 (glowing)
闪烁 (sparkling)
眨眼 (twinkling)
闪烁 (flashing)
眨眼 (blinking)
微光 (glimmering)
闪光 (glittering)
微光 (shimmering)
辐射 (radiating)
发光 (beaming)
明亮 (luminous)
明亮 (bright)
灿烂 (brilliant)
光辉 (radiant)
辉煌 (brilliant)
华丽 (splendid)
壮丽 (magnificent)
光荣 (glorious)
荣耀 (glory)
名誉 (fame)
著名 (famous)
庆祝 (celebrated)
闻名 (renowned)
著名 (noted)
显著 (notable)
卓越 (distinguished)
杰出 (eminent)
著名 (illustrious)
著名 (renowned)
著名 (famed)
超级 (superb)
优秀 (excellent)
精彩 (wonderful)
惊人 (amazing)
惊讶 (astonishing)
印象深刻 (impressive)
非凡 (extraordinary)
显著 (remarkable)
杰出 (outstanding)
例外 (exceptional)
非凡 (phenomenal)
非凡 (prodigious)
难以置信 (incredible)
不可置信 (unbelievable)
难以想象 (unimaginable)
不可思议 (inconceivable)
难以想象 (unthinkable)
难以想象 (unimaginably)
